_id,GRUPOSERVICO_CODIGO,GRUPOSERVICO_DESCRICAO,SERVICO_CODIGO,SERVICO_DESCRICAO,LOGRADOURO,NUMERO,BAIRRO,RPA,DATA_DEMANDA,SITUACAO,DATA_ULT_SITUACAO
105,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  SERGIO BITTENCOURT,38,JORDAO,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
106,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  SEVERINO BERNARDINO PEREIRA,234,ALTO JOSE DO PINHO,3,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
107,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  SILVEIRANIA,170,JIQUIA,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
108,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA  TERRA RICA,75,BARRO,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
109,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA CANTOR CARLOS ALEXANDRE,40,BARRO,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
110,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA CAPITAO JOSE DA LUZ,25,ILHA DO LEITE,1,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
111,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA CONEGO LIRA,282,IMBIRIBEIRA,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
112,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA CONEGO OLIMPIO TORRES,224,CAMPINA DO BARRETO,2,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
113,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA DOM EXPEDITO LOPES,139,SAN MARTIN,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
114,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA DR BENIGNO JORDAO DE VASCONCELOS,1315,COHAB,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
